x,y,yaw,v,w,v_cmd,w_cmd
0.95783687,0.761935,0.33973983,0.55991983,0.32222813,0.0,0.24850798
0.9591638,0.7579744,0.3380533,0.7961273,0.35679835,0.0,0.30759937
0.96044546,0.75406444,0.33657652,0.40113115,0.44620973,0.0,0.30759937
0.96170247,0.75017136,0.3351977,0.57612467,0.43433642,0.0,0.31327456
0.9629382,0.74622726,0.3338434,0.45575285,0.45194107,0.0,0.32352155
0.9641557,0.74226266,0.3326159,0.2572961,0.5375672,0.0,0.32352155
0.9649474,0.7396582,0.33171275,0.41584015,0.42008024,0.0,0.31528908
0.9661152,0.73572636,0.33010367,0.31038523,0.26804447,0.0,0.31528908
0.9672856,0.7317205,0.32873002,0.3635702,0.51603734,0.0,0.30051446
0.9684383,0.7276888,0.327542,0.63123894,0.5057126,0.0,0.30051446
0.9695754,0.72363067,0.32623428,0.55312395,0.47022185,0.0,0.31170893
0.9706938,0.71954846,0.32486847,0.35555744,0.5102789,0.0,0.27020025
0.97182715,0.71537584,0.32339162,0.7825823,0.3753742,0.0,0.27020025
0.9729409,0.7111793,0.32179177,0.83482313,0.40042156,0.0,0.27850288
0.9740088,0.70699954,0.3203761,0.6428232,0.55544174,0.0,0.27850288
0.97504866,0.7028445,0.31914735,0.42241907,0.48643583,0.0,0.24507076
0.9760677,0.6987314,0.31781346,0.24989891,0.42204505,0.0,0.2561307
0.9770564,0.6946903,0.3164515,0.18584633,0.4673475,0.0,0.2561307
0.9780214,0.690618,0.3149912,0.2416768,0.38267523,0.0,0.247096
0.9789602,0.68648165,0.31315625,0.17313719,0.38074178,0.0,0.247096
0.97989184,0.6822617,0.31172052,0.5394831,0.49939346,0.0,0.24255514
0.98081124,0.6780045,0.31044394,0.55743027,0.4990094,0.0,0.2509067
0.9817201,0.67359644,0.3092112,0.7860284,0.49468923,0.0,0.22659099
0.9823226,0.6706729,0.30827457,0.42586136,0.4139986,0.0,0.22659099
0.983207,0.6662744,0.30675054,0.8494115,0.44977796,0.0,0.22659099
0.9840746,0.6618463,0.3052374,0.40546846,0.40464443,0.0,0.2034204
0.98490584,0.65744317,0.30360228,0.91433525,0.35177326,0.0,0.2128653
0.9856941,0.65319544,0.30211407,0.10359335,0.43022364,0.0,0.2128653
0.9864643,0.6489661,0.30041054,0.43562603,0.35501558,0.0,0.22926223
0.98719746,0.64473164,0.29872182,0.099671364,0.36970174,0.0,0.22926223
0.987904,0.64046204,0.29714027,0.39120293,0.41098785,0.0,0.24562329
0.98859257,0.63616586,0.29531923,0.21982574,0.1725958,0.0,0.28000766
0.9892636,0.63177466,0.29393023,0.7553873,0.38178462,0.0,0.28000766
0.9899388,0.62725514,0.29237536,0.9003444,0.58055735,0.0,0.22239298
0.9905923,0.62262,0.29144728,0.9657564,0.65700495,0.0,0.22239298
0.9912298,0.61803824,0.2902723,0.76501894,0.49092865,0.0,0.2691511
0.9918487,0.6134745,0.2888934,0.4150772,0.34475064,0.0,0.24872553
0.99243796,0.60895705,0.28715444,0.6805916,0.29863125,0.0,0.21953464
0.9929988,0.6045176,0.28521228,0.68260145,0.23522198,0.0,0.21953464
0.99334514,0.6016084,0.28393197,0.156034,0.37539923,0.0,0.21953464
0.99384385,0.59720784,0.28254455,0.41927814,0.46741745,0.0,0.23455912
0.9943297,0.5928762,0.2816062,0.48320436,0.6352333,0.0,0.24126035
0.99480253,0.58858037,0.2806955,0.25499249,0.65060234,0.0,0.24126035
0.9952651,0.58415985,0.2798302,0.87542343,0.6034976,0.0,0.23938054
0.99571925,0.5796578,0.27853853,0.7679262,0.22548354,0.0,0.19991273
0.99615836,0.5750393,0.2765265,0.84983397,0.51521367,0.0,0.19991273
0.99656874,0.5702663,0.27573532,0.86833763,0.7044287,0.0,0.18170547
0.99696773,0.5654699,0.27504906,1.0,0.69747925,0.0,0.18170547
0.9973599,0.56088203,0.27382594,0.3070464,0.33921766,0.0,0.17694205
0.9977332,0.5563602,0.27195573,0.30502605,0.24847364,0.0,0.17694205
0.9980644,0.551833,0.26994875,0.6923609,0.1814192,0.0,0.12758797
0.9983498,0.5473584,0.26793507,0.13550234,0.20751202,0.0,0.15089506
0.9986189,0.54295886,0.2664482,0.08349419,0.6455017,0.0,0.15089506
0.998859,0.5385272,0.2654839,0.5756235,0.5195191,0.0,0.16900861
